,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Geography_Germany,Geography_Spain,Gender_Male,Retirement,EstimatedSalary / Age,CreditScore / Age,NumOfProducts / Tenure,EstimatedSalary / CreditScore,EstimatedSalary / Balance,EstimatedSalary / Tenure,EstimatedSalary / NumOfProducts,CreditScore / Tenure,Exited
0,4.0,3.0,2.0,0.0,1.0,1.0,1.0,101348.88,0.0,0.0,0.0,0.0,2413.0685714285714,14.738095238095237,0.3333333333333333,163.73001615508886,101348.88,33782.96,101348.88,206.33333333333334,1
1,4.0,3.0,1.0,83807.86,1.0,0.0,1.0,112542.58,0.0,1.0,0.0,0.0,2744.940975609756,14.829268292682928,0.5,185.10292763157895,1.3428482382411597,56271.29,112542.58,304.0,0
2,3.0,3.0,8.0,159660.8,3.0,1.0,0.0,113931.57,0.0,0.0,0.0,0.0,2712.656428571429,11.952380952380953,0.3333333333333333,226.9553187250996,0.7135806435853786,12659.063333333334,37977.19,55.77777777777778,1
3,5.0,2.0,1.0,0.0,2.0,0.0,0.0,93826.63,0.0,0.0,0.0,0.0,2405.811025641026,17.923076923076923,1.0,134.229799713877,93826.63,46913.315,46913.315,349.5,0
4,6.0,3.0,2.0,125510.82,1.0,1.0,1.0,79084.1,0.0,1.0,0.0,0.0,1839.16511627907,19.767441860465116,0.3333333333333333,93.04011764705884,0.6300928470322557,26361.36666666667,79084.1,283.3333333333333,0
5,4.0,3.0,8.0,113755.78,2.0,1.0,0.0,149756.71,0.0,1.0,1.0,0.0,3403.5615909090907,14.659090909090908,0.2222222222222222,232.1809457364341,1.3164640384511586,16639.634444444444,74878.355,71.66666666666667,1
6,6.0,3.0,7.0,0.0,2.0,1.0,1.0,10062.8,0.0,0.0,1.0,0.0,201.25599999999997,16.44,0.25,12.24184914841849,10062.8,1257.85,5031.4,102.75,0
7,2.0,1.0,4.0,115046.74,4.0,1.0,0.0,119346.88,1.0,0.0,0.0,0.0,4115.409655172414,12.96551724137931,0.8,317.41191489361705,1.0373683133627831,23869.376,29836.72,75.2,1
8,3.0,3.0,4.0,142051.07,2.0,0.0,1.0,74940.5,0.0,0.0,1.0,0.0,1703.1931818181818,11.386363636363637,0.4,149.58183632734531,0.5275565502142981,14988.1,37470.25,100.2,0
9,5.0,1.0,2.0,134603.88,1.0,1.0,1.0,71725.73,0.0,0.0,1.0,0.0,2656.5085185185185,25.333333333333332,0.3333333333333333,104.86217836257309,0.5328612900215801,23908.576666666664,71725.73,228.0,0
