,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Geography_Germany,Geography_Spain,Gender_Male,Exited,Retirement,EstimatedSalary / Age,CreditScore / Age,NumOfProducts / Tenure,EstimatedSalary / CreditScore,EstimatedSalary / Balance,EstimatedSalary / Tenure,EstimatedSalary / NumOfProducts,CreditScore / Tenure
0,4,3.0,2.0,0.0,1.0,1.0,1.0,101348.88,0.0,0.0,0.0,1,0.0,-0.00832597523393136,-0.20477230933552157,0.35714285714285704,0.048522547425023765,2.3533033459973294,0.8791013483928257,101348.88,1.042227546795213
1,4,3.0,1.0,83807.86,1.0,0.0,1.0,112542.58,0.0,1.0,0.0,0,0.0,0.12726051533418076,-0.19025797409142342,1.0714285714285712,0.187498407320249,2.1399252002225685e-06,2.032350713304601,112542.58,2.086491688698965
2,3,3.0,8.0,159660.8,3.0,1.0,0.0,113931.57,0.0,0.0,0.0,1,0.0,0.11407066171164779,-0.6482453422395833,0.35714285714285704,0.4596406490214482,-1.2471739089439108e-05,-0.2041769748661841,37977.19,-0.567531170246408
3,5,2.0,1.0,0.0,2.0,0.0,0.0,93826.63,0.0,0.0,0.0,0,0.0,-0.011291045999301334,0.3022622759505822,3.214285714285714,-0.14330054375852536,2.1786358553520637,1.5524538634446838,46913.315,2.572983345251396
4,6,3.0,2.0,125510.82,1.0,1.0,1.0,79084.1,0.0,1.0,0.0,0,0.0,-0.24279426614417157,0.5958767778971547,0.35714285714285704,-0.41113356643041177,-1.441033511103324e-05,0.49850626648589336,79084.1,1.865521119422403
5,4,3.0,8.0,113755.78,2.0,1.0,0.0,149756.71,0.0,1.0,1.0,1,0.0,0.3963400070881692,-0.21734943886232674,-0.11904761904761908,0.4936199226543726,1.5272811150083236e-06,-4.482695324233087e-05,74878.355,-0.39764519494238454
6,6,3.0,7.0,0.0,2.0,1.0,1.0,10062.8,0.0,0.0,1.0,0,0.0,-0.9119621335169404,0.06616318119424237,0.0,-0.9365186481491842,0.23363030608998994,-0.7888554296865432,5031.4,-0.06529833066755551
7,2,1.0,4.0,115046.74,4.0,1.0,0.0,119346.88,1.0,0.0,0.0,1,0.0,0.6871655762984216,-0.4869586571221026,2.357142857142857,1.0478283299344155,-4.9533529972596126e-06,0.3707116879778669,29836.72,-0.35986635567897235
8,3,3.0,4.0,142051.07,2.0,0.0,1.0,74940.5,0.0,0.0,1.0,0,0.0,-0.2983456080967978,-0.7383527222740915,0.6428571428571429,-0.04347500095184541,-1.6791239450193833e-05,-0.08473902386272718,37470.25,-0.09256324768313128
9,5,1.0,2.0,134603.88,1.0,1.0,1.0,71725.73,0.0,0.0,1.0,0,0.0,0.09113142970291496,1.481941362820953,0.35714285714285704,-0.334261444657044,-1.6668062795514184e-05,0.37272198149176716,71725.73,1.2738902403916084
